AAPKOKXA	34.30732	-97.03184
ABBGNCXA	34.51646	-78.73134
ABBYSK01	50.61529	-108.44725
ABCYONXT	49.89009	-81.57630
ABDLFLXA	28.06210	-81.78629
ABDLWIXA	44.63527	-89.99286
ABFDBC01	49.04841	-122.28489
ABFDBCAI	49.04841	-122.28489
ABFDBCBB	50.62114	-122.93394
ABHGMIMN	42.62103	-83.16841
ABHLMIBH	42.65333	-83.22906
ABIQNMXC	36.20681	-106.31928
ABITPRUR	18.14108	-66.26419
ABLNKSCD	38.91958	-97.21593
ABLNTX03	32.45080	-99.73608
ABLNTX82	32.45355	-99.72912
ABLNTX93	32.45080	-99.73608
ABLNTXCM	32.41968	-99.77845
ABLNTXDE	32.44920	-99.73101
ABLNTXDJ	32.45194	-99.72405
ABLNTXLY	32.44028	-99.78105
ABLNTXOR	32.45080	-99.73608
ABLNTXOW	32.41968	-99.77845
ABLNTXRO	32.50663	-99.74067
ABNGILXD	40.80291	-90.39768
ABNGVAAE	36.71097	-81.97514
ABNGVAXA	36.71490	-81.97218
ABRCNDXA	46.44833	-96.72884
ABRDIDXC	42.95048	-112.83855
ABRDMDAB	39.50904	-76.16819
ABRDMSBB	33.82548	-88.54413
ABRDMSES	33.83063	-88.54486
ABRDNCXA	35.13206	-79.42517
ABRDOH79	38.66136	-83.75922
ABRDSD01	45.47557	-98.51186
ABRDSDAG	45.47557	-98.51186
ABRDSDCO	45.46033	-98.49218
ABRDSDQA	45.42867	-98.55807
ABRDSDQB	45.46732	-98.48143
ABRDSDRS	45.40496	-98.45236
ABRDSK01	52.32567	-106.29321
ABRDWA01	46.97767	-123.83648
ABRDWAAE	46.94353	-123.77873
ABRDWAAF	46.94437	-123.79880
ABRMWIXA	44.77519	-88.04637
ABRNSK01	50.79905	-103.54556
ABRNTXXA	34.06745	-101.84739
ABRRONXF	43.05027	-82.09333
ABRYCAXF	37.07280	-119.48572
ABRYTXGI	33.30247	-96.98597
ABSCNJ02	39.46312	-74.49613
ABSRMTXC	45.51462	-109.44859
ABSRNDXA	46.97664	-97.39090
ABVLALXA	31.56845	-85.25234
ABVLGAXA	31.97116	-83.30815
ABVLKSXA	37.96439	-98.25733
ABVLLAMA	29.97124	-92.13167
ABVLPAES	41.02036	-75.59004
ABVLSCXA	34.17549	-82.38068
ACCYTXXA	33.59143	-98.62285
ACDMSDXA	43.45484	-99.08076
ACDNMDAC	39.62689	-79.32394
ACFFTXXA	33.60147	-101.62683
ACHLOKXA	33.83248	-96.38652
ACHLTNMT	36.57248	-87.04893
ACKLIACO	42.50739	-93.07815
ACKRMSXA	33.30636	-89.17326
ACKRTXXA	32.51419	-101.71647
